Label (Grouping),Median value --!!Total:!!Moved in 2019 or later,Median value --!!Total:!!Moved in 2015 to 2018,Median value --!!Total:!!Moved in 2010 to 2014,Median value --!!Total:!!Moved in 2000 to 2009
    Estimate,"189,600","143,100","155,400","161,300"
    Margin of Error,"±148,441","±16,656","±26,533","±23,103"
ZCTA5 43456,,,,
    Estimate,-,-,"513,900","311,800"
    Margin of Error,**,**,"±265,240","±55,409"
ZCTA5 43457,,,,
    Estimate,-,"128,000","118,800","150,000"
    Margin of Error,**,"±121,232","±57,765","±66,063"
ZCTA5 43458,,,,
    Estimate,-,-,-,"105,600"
    Margin of Error,**,**,**,"±24,431"
ZCTA5 43460,,,,
    Estimate,-,"139,800","131,700","162,400"
    Margin of Error,**,"±16,587","±35,258","±11,926"
ZCTA5 43462,,,,
    Estimate,-,"106,300",-,-
    Margin of Error,**,"±52,843",**,**
ZCTA5 43463,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43464,,,,
    Estimate,-,-,"55,800","160,100"
    Margin of Error,**,**,"±2,147","±16,506"
ZCTA5 43465,,,,
    Estimate,-,"71,200","124,200","120,500"
    Margin of Error,**,"±59,370","±26,646","±51,052"
ZCTA5 43466,,,,
    Estimate,-,"158,200","82,500","180,300"
    Margin of Error,**,"±21,818","±46,269","±40,381"
ZCTA5 43467,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43468,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43469,,,,
    Estimate,-,"142,600","148,800","172,700"
    Margin of Error,**,"±23,857","±30,416","±121,206"
ZCTA5 43501,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43502,,,,
    Estimate,-,"159,800","143,300","152,500"
    Margin of Error,**,"±10,690","±38,363","±29,060"
ZCTA5 43504,,,,
    Estimate,-,-,"146,900","236,300"
    Margin of Error,**,**,"±35,972","±51,397"
ZCTA5 43505,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43506,,,,
    Estimate,-,"151,700","115,900","120,700"
    Margin of Error,**,"±36,290","±19,068","±22,102"
ZCTA5 43511,,,,
    Estimate,-,"139,500","91,800","170,800"
    Margin of Error,**,"±42,439","±38,847","±133,119"
ZCTA5 43512,,,,
    Estimate,"162,200","129,800","115,800","155,800"
    Margin of Error,"±51,350","±16,534","±9,883","±18,980"
ZCTA5 43515,,,,
    Estimate,"112,800","135,700","117,000","161,800"
    Margin of Error,"±14,119","±18,830","±12,075","±17,737"
ZCTA5 43516,,,,
    Estimate,-,"129,300","133,700","98,400"
    Margin of Error,**,"±18,591","±40,387","±24,352"
ZCTA5 43517,,,,
    Estimate,-,"119,000","88,800","125,000"
    Margin of Error,**,"±39,390","±31,815","±44,151"
ZCTA5 43518,,,,
    Estimate,"70,000","132,200","126,500","152,200"
    Margin of Error,"±39,291","±29,938","±81,258","±49,576"
ZCTA5 43519,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43521,,,,
    Estimate,-,"89,500","99,100","126,300"
    Margin of Error,**,"±44,417","±11,648","±29,682"
ZCTA5 43522,,,,
    Estimate,-,"119,600","195,800","150,000"
    Margin of Error,**,"±26,080","±103,971","±45,191"
ZCTA5 43523,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43524,,,,
    Estimate,-,"97,200","168,800",-
    Margin of Error,**,"±23,609","±77,424",**
ZCTA5 43525,,,,
    Estimate,-,"209,900","191,700","200,000"
    Margin of Error,**,"±40,268","±15,021","±28,100"
ZCTA5 43526,,,,
    Estimate,"300,000","100,000","122,600","107,100"
    Margin of Error,"±58,077","±16,392","±15,531","±23,425"
ZCTA5 43527,,,,
    Estimate,-,"96,000","98,500","100,800"
    Margin of Error,**,"±14,513","±96,334","±11,601"
ZCTA5 43528,,,,
    Estimate,"271,500","209,700","209,400","206,200"
    Margin of Error,"±134,344","±46,121","±26,376","±17,273"
ZCTA5 43529,,,,
    Estimate,-,"107,200",-,-
    Margin of Error,**,"±49,168",**,**
ZCTA5 43531,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43532,,,,
    Estimate,"218,100","138,100","133,300","145,600"
    Margin of Error,"±30,224","±63,426","±51,035","±14,694"
ZCTA5 43533,,,,
    Estimate,"246,400","275,000","96,800","180,000"
    Margin of Error,"±166,709","±214,659","±18,631","±40,536"
ZCTA5 43534,,,,
    Estimate,-,-,"158,300","85,000"
    Margin of Error,**,**,"±155,685","±31,651"
ZCTA5 43535,,,,
    Estimate,-,"112,500","111,100","187,500"
    Margin of Error,**,"±54,105","±17,478","±79,332"
ZCTA5 43536,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43537,,,,
    Estimate,"137,000","192,100","203,900","196,700"
    Margin of Error,"±39,295","±29,237","±23,599","±15,829"
ZCTA5 43540,,,,
    Estimate,-,"141,100","159,700","146,900"
    Margin of Error,**,"±49,053","±49,934","±84,882"
ZCTA5 43541,,,,
    Estimate,-,-,"75,000","108,900"
    Margin of Error,**,**,"±70,540","±28,484"
ZCTA5 43542,,,,
    Estimate,-,"406,000","290,100","294,200"
    Margin of Error,**,"±151,249","±45,145","±47,534"
ZCTA5 43543,,,,
    Estimate,"112,500","84,200","132,700","91,500"
    Margin of Error,"±106,125","±15,197","±74,118","±10,621"
ZCTA5 43545,,,,
    Estimate,-,"150,500","132,800","135,200"
    Margin of Error,**,"±20,296","±42,705","±22,891"
ZCTA5 43547,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43548,,,,
    Estimate,-,"56,800",-,"117,200"
    Margin of Error,**,"±31,344",**,"±50,042"
ZCTA5 43549,,,,
    Estimate,-,"207,100","170,500","116,700"
    Margin of Error,**,"±134,844","±20,281","±36,813"
ZCTA5 43551,,,,
    Estimate,"238,200","223,600","221,900","199,300"
    Margin of Error,"±28,803","±14,425","±12,503","±14,184"
ZCTA5 43553,,,,
    Estimate,-,"130,200",-,-
    Margin of Error,**,"±20,369",**,**
ZCTA5 43554,,,,
    Estimate,-,-,"101,400","116,100"
    Margin of Error,**,**,"±52,352","±21,321"
ZCTA5 43555,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43556,,,,
    Estimate,-,-,"117,000","127,100"
    Margin of Error,**,**,"±47,288","±30,828"
ZCTA5 43557,,,,
    Estimate,-,"99,400","87,500","158,300"
    Margin of Error,**,"±63,010","±15,795","±53,012"
ZCTA5 43558,,,,
    Estimate,-,"135,000","134,000","147,000"
    Margin of Error,**,"±22,576","±10,135","±27,270"
ZCTA5 43560,,,,
    Estimate,"145,700","214,900","203,000","217,600"
    Margin of Error,"±52,014","±13,976","±17,578","±21,819"
ZCTA5 43565,,,,
    Estimate,-,"131,300","200,000","112,500"
    Margin of Error,**,"±17,201","±134,661","±31,474"
ZCTA5 43566,,,,
    Estimate,"270,700","215,700","212,600","240,700"
    Margin of Error,"±37,866","±29,620","±24,598","±27,942"
ZCTA5 43567,,,,
    Estimate,"219,700","158,900","108,200","147,400"
    Margin of Error,"±119,421","±66,810","±37,079","±42,170"
ZCTA5 43569,,,,
    Estimate,-,"129,400","114,800","119,400"
    Margin of Error,**,"±25,055","±87,073","±27,805"
ZCTA5 43570,,,,
    Estimate,"132,200","109,500","108,800","112,400"
    Margin of Error,"±97,826","±16,676","±34,869","±9,471"
ZCTA5 43571,,,,
    Estimate,"524,200","258,200","229,600","191,800"
    Margin of Error,"±298,488","±52,637","±82,987","±23,088"
ZCTA5 43604,,,,
    Estimate,"172,500","108,800",-,"19,200"
    Margin of Error,"±79,891","±61,378",**,"±10,191"
ZCTA5 43605,,,,
    Estimate,"46,400","30,300","36,000","40,700"
    Margin of Error,"±21,037","±4,405","±6,114","±6,024"
ZCTA5 43606,,,,
    Estimate,"159,600","166,300","135,200","121,000"
    Margin of Error,"±11,629","±36,855","±43,882","±12,123"
ZCTA5 43607,,,,
    Estimate,-,"65,800","90,300","55,600"
    Margin of Error,**,"±6,327","±54,121","±6,391"
ZCTA5 43608,,,,
    Estimate,-,"19,700","27,100","34,500"
    Margin of Error,**,"±17,853","±10,364","±5,115"
ZCTA5 43609,,,,
    Estimate,-,"53,900","46,500","58,900"
    Margin of Error,**,"±13,180","±6,267","±6,435"
ZCTA5 43610,,,,
    Estimate,-,"61,400","63,900","52,300"
    Margin of Error,**,"±13,712","±11,778","±19,218"
ZCTA5 43611,,,,
    Estimate,-,"118,000","83,300","86,900"
    Margin of Error,**,"±27,267","±4,589","±8,151"
ZCTA5 43612,,,,
    Estimate,"126,800","71,700","80,600","67,600"
    Margin of Error,"±36,793","±9,535","±30,595","±3,025"
ZCTA5 43613,,,,
    Estimate,"113,700","99,200","86,100","95,700"
    Margin of Error,"±16,155","±7,837","±8,516","±8,667"
ZCTA5 43614,,,,
    Estimate,"160,700","128,200","108,100","132,200"
    Margin of Error,"±8,322","±11,076","±10,471","±5,056"
ZCTA5 43615,,,,
    Estimate,"103,900","89,200","104,700","114,900"
    Margin of Error,"±43,060","±11,711","±28,404","±14,478"
ZCTA5 43616,,,,
    Estimate,-,"147,600","149,800","144,200"
    Margin of Error,**,"±19,002","±12,415","±15,499"
ZCTA5 43617,,,,
    Estimate,"350,000","159,500","215,000","223,700"
    Margin of Error,"±209,321","±90,164","±51,022","±15,008"
ZCTA5 43619,,,,
    Estimate,-,"249,300","156,400","130,200"
    Margin of Error,**,"±133,412","±26,347","±11,903"
ZCTA5 43620,,,,
    Estimate,-,"104,100","158,400","112,500"
    Margin of Error,**,"±27,610","±24,051","±9,300"
ZCTA5 43623,,,,
    Estimate,"153,400","118,800","113,200","150,000"
    Margin of Error,"±14,447","±11,937","±11,246","±16,766"
ZCTA5 43701,,,,
    Estimate,"200,000","128,800","125,400","125,500"
    Margin of Error,"±168,251","±15,822","±12,996","±14,981"
ZCTA5 43711,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43713,,,,
    Estimate,-,"146,500","155,400","115,700"
    Margin of Error,**,"±132,878","±56,250","±52,014"
ZCTA5 43716,,,,
    Estimate,-,"114,100",-,"96,000"
    Margin of Error,**,"±10,166",**,"±9,153"
ZCTA5 43717,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43718,,,,
    Estimate,-,"197,800","158,300","118,300"
    Margin of Error,**,"±105,344","±122,839","±59,771"
ZCTA5 43719,,,,
    Estimate,-,"116,700","273,100",-
    Margin of Error,**,"±84,676","±208,960",**
ZCTA5 43720,,,,
    Estimate,-,"146,300",-,"117,500"
    Margin of Error,**,"±39,357",**,"±66,119"
ZCTA5 43721,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43722,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43723,,,,
    Estimate,-,"136,600","100,000","71,800"
    Margin of Error,**,"±30,032","±87,720","±12,721"
ZCTA5 43724,,,,
    Estimate,-,"85,600","104,900","122,800"
    Margin of Error,**,"±12,629","±40,511","±70,695"
ZCTA5 43725,,,,
    Estimate,"215,800","135,000","126,700","134,400"
    Margin of Error,"±99,324","±14,705","±13,821","±23,063"
ZCTA5 43727,,,,
    Estimate,-,-,"80,800","135,600"
    Margin of Error,**,**,"±9,461","±87,936"
ZCTA5 43728,,,,
    Estimate,-,-,"104,500","112,200"
    Margin of Error,**,**,"±73,649","±5,298"
ZCTA5 43730,,,,
    Estimate,-,-,"114,900","147,700"
    Margin of Error,**,**,"±52,211","±50,463"
ZCTA5 43731,,,,
    Estimate,-,"78,600","88,100","78,200"
    Margin of Error,**,"±15,542","±47,416","±10,338"
ZCTA5 43732,,,,
    Estimate,-,"56,700","97,200","137,900"
    Margin of Error,**,"±44,535","±60,028","±22,161"
ZCTA5 43733,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43734,,,,
    Estimate,-,"158,900","157,100","137,300"
    Margin of Error,**,"±74,249","±51,873","±12,543"
ZCTA5 43735,,,,
    Estimate,-,-,"26,100",-
    Margin of Error,**,**,"±19,355",**
ZCTA5 43736,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43738,,,,
    Estimate,-,"75,500",-,"89,300"
    Margin of Error,**,"±8,167",**,"±39,180"
ZCTA5 43739,,,,
    Estimate,-,"214,800","216,700","122,000"
    Margin of Error,**,"±129,231","±128,594","±76,567"
ZCTA5 43740,,,,
    Estimate,-,"90,000","89,100","114,600"
    Margin of Error,**,"±24,742","±61,077","±17,679"
ZCTA5 43746,,,,
    Estimate,-,-,"227,500","122,800"
    Margin of Error,**,**,"±28,041","±44,606"
ZCTA5 43747,,,,
    Estimate,-,"111,800","87,500","293,500"
    Margin of Error,**,"±5,893","±32,439","±58,401"
ZCTA5 43748,,,,
    Estimate,-,"554,200","90,000","148,600"
    Margin of Error,**,"±446,860","±50,266","±81,285"
ZCTA5 43749,,,,
    Estimate,-,-,-,"200,000"
    Margin of Error,**,**,**,"±95,632"
ZCTA5 43750,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43754,,,,
    Estimate,-,"90,000",-,"67,100"
    Margin of Error,**,"±12,987",**,"±31,521"
ZCTA5 43755,,,,
    Estimate,-,"68,800","157,500","120,200"
    Margin of Error,**,"±43,519","±8,834","±65,673"
ZCTA5 43756,,,,
    Estimate,-,"83,800","85,000","105,700"
    Margin of Error,**,"±30,387","±11,936","±17,447"
ZCTA5 43758,,,,
    Estimate,-,"104,500","105,500","94,300"
    Margin of Error,**,"±58,363","±22,386","±43,910"
ZCTA5 43759,,,,
    Estimate,-,-,-,"32,900"
    Margin of Error,**,**,**,"±29,022"
ZCTA5 43760,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43761,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43762,,,,
    Estimate,-,"155,000","161,400","218,200"
    Margin of Error,**,"±20,569","±25,689","±45,430"
ZCTA5 43764,,,,
    Estimate,-,"120,100","105,500","101,500"
    Margin of Error,**,"±82,719","±16,088","±31,632"
ZCTA5 43766,,,,
    Estimate,-,-,"118,400","45,900"
    Margin of Error,**,**,"±114,277","±34,816"
ZCTA5 43767,,,,
    Estimate,-,"209,200","265,900",-
    Margin of Error,**,"±58,874","±103,692",**
ZCTA5 43768,,,,
    Estimate,-,-,-,"84,300"
    Margin of Error,**,**,**,"±4,479"
ZCTA5 43771,,,,
    Estimate,-,"69,500","96,900","132,300"
    Margin of Error,**,"±42,814","±21,174","±27,586"
ZCTA5 43772,,,,
    Estimate,-,"73,900","66,200","119,100"
    Margin of Error,**,"±18,277","±6,364","±62,452"
ZCTA5 43773,,,,
    Estimate,-,"237,500","140,500","86,900"
    Margin of Error,**,"±156,877","±43,788","±45,101"
ZCTA5 43777,,,,
    Estimate,-,"134,100","63,800","79,400"
    Margin of Error,**,"±19,035","±15,624","±29,429"
ZCTA5 43778,,,,
    Estimate,-,-,"111,500","173,000"
    Margin of Error,**,**,"±30,553","±65,102"
ZCTA5 43779,,,,
    Estimate,-,-,"75,500","121,500"
    Margin of Error,**,**,"±27,896","±56,234"
ZCTA5 43780,,,,
    Estimate,-,"179,700","187,500","204,900"
    Margin of Error,**,"±98,716","±122,520","±83,182"
ZCTA5 43782,,,,
    Estimate,-,-,"61,800","125,700"
    Margin of Error,**,**,"±12,225","±113,975"
ZCTA5 43783,,,,
    Estimate,-,"138,600","113,200","168,000"
    Margin of Error,**,"±26,147","±52,190","±22,792"
ZCTA5 43786,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43787,,,,
    Estimate,-,"78,800","75,900","83,900"
    Margin of Error,**,"±11,555","±72,573","±24,932"
ZCTA5 43788,,,,
    Estimate,-,-,-,"659,100"
    Margin of Error,**,**,**,"±499,537"
ZCTA5 43793,,,,
    Estimate,-,"109,000","105,500","106,300"
    Margin of Error,**,"±18,689","±31,231","±38,464"
ZCTA5 43802,,,,
    Estimate,-,-,"142,900","131,300"
    Margin of Error,**,**,"±19,654","±90,615"
ZCTA5 43804,,,,
    Estimate,-,"160,800","122,100","264,200"
    Margin of Error,**,"±36,510","±26,995","±87,848"
ZCTA5 43805,,,,
    Estimate,-,-,-,-
    Margin of Error,**,**,**,**
ZCTA5 43811,,,,
    Estimate,-,"68,800","71,000","148,200"
    Margin of Error,**,"±11,000","±26,268","±51,079"
ZCTA5 43812,,,,
    Estimate,-,"94,600","122,200","89,700"
    Margin of Error,**,"±12,810","±41,706","±15,093"
ZCTA5 43821,,,,
    Estimate,-,"144,600","159,700","108,600"
    Margin of Error,**,"±90,951","±45,724","±30,307"
ZCTA5 43822,,,,
    Estimate,-,"207,500",-,"130,800"
    Margin of Error,**,"±153,539",**,"±22,064"
ZCTA5 43824,,,,
    Estimate,-,"233,300","171,200","150,000"
    Margin of Error,**,"±110,377","±146,193","±131,696"
ZCTA5 43830,,,,
    Estimate,-,"169,800","218,700","180,700"
    Margin of Error,**,"±64,286","±34,410","±19,792"
ZCTA5 43832,,,,
